1;LATI;LTFJ;2020-10-18T10:00:00;2020-10-18T11:30:00
2;LOWW;LATI;2020-10-23T15:00:00;2020-10-23T17:00:00
3;LCLK;EDDB;2020-10-25T09:00:00;2020-10-25T10:30:00
4;LKPR;LGAV;2020-10-26T07:00:00;2020-10-26T09:00:00
5;EKCH;LIRA;2020-10-29T18:00:00;2020-10-29T20:00:00
6;LFPG;LEMD;2020-11-01T23:30:00;2020-11-02T01:00:00
7;EDDB;LGTS;2020-11-03T13:30:00;2020-11-03T15:00:00
8;LGAV;EGLL;2020-11-03T13:30:00;2020-11-03T15:00:00
9;LGTS;EGLL;2020-11-03T13:30:00;2020-11-03T15:00:00
10;LHBP;LATI;2020-11-03T14:00:00;2020-11-03T17:00:00
11;LIRA;EKCH;2020-11-04T11:00:00;2020-11-04T12:30:00
12;UUDD;LFPG;2020-11-07T00:00:00;2020-11-07T02:30:00
13;LEMD;LGTS;2020-11-10T16:00:00;2020-11-10T17:30:00
14;LTFJ;LGTS;2020-11-10T16:00:00;2020-11-10T17:35:00
15;EGLL;LGTS;2020-11-10T16:30:00;2020-11-10T17:30:00
16;LATI;LKPR;2020-11-15T10:00:00;2020-11-15T11:30:00
17;LOWW;EKCH;2020-11-15T22:45:00;2020-11-16T00:45:00
18;LKPR;LATI;2020-11-15T08:00:00;2020-11-15T10:00:00
19;LCLK;EKCH;2020-11-18T17:00:00;2020-11-18T19:00:00
20;EKCH;UUDD;2020-11-19T16:30:00;2020-11-19T18:00:00
21;LFPG;LEMD;2020-11-23T06:15:00;2020-11-23T08:30:00
22;EDDB;LTFJ;2020-11-25T12:00:00;2020-11-25T13:15:00
23;LGAV;LGTS;2020-11-28T16:00:00;2020-11-28T17:00:00
24;LGTS;LHBP;2020-11-28T17:15:00;2020-11-28T18:30:00
25;LHBP;LIRA;2020-11-30T15:00:00;2020-11-30T17:00:00
26;LIRA;LCLK;2020-12-02T23:30:00;2020-12-03T01:30:00
27;UUDD;EKCH;2020-12-06T12:00:00;2020-12-06T13:45:00
28;LEMD;EKCH;2020-12-06T11:30:00;2020-12-06T13:45:00
29;LTFJ;UUDD;2020-12-13T09:30:00;2020-12-13T11:00:00
30;EGLL;LEMD;2020-12-13T09:30:00;2020-12-13T11:00:00
31;LGTS;LFPG;2020-12-15T20:00:00;2020-12-15T21:15:00
32;LHBP;EDDB;2020-12-18T19:00:00;2020-12-18T20:15:00
33;LIRA;LGAV;2020-12-23T21:00:00;2020-12-23T23:30:00
34;LCLK;LGTS;2020-12-26T14:00:00;2020-12-26T15:00:00
35;EKCH;LEMD;2020-12-30T23:00:00;2020-12-31T00:15:00
36;LFPG;LTFJ;2021-01-01T10:00:00;2021-01-01T11:45:00
37;EDDB;EGLL;2021-01-01T11:45:00;2021-01-01T13:00:00
38;LGAV;LGTS;2021-01-06T13:00:00;2021-01-06T14:00:00
39;LGTS;UUDD;2021-01-10T15:30:00;2021-01-10T17:00:00
40;UUDD;LGTS;2021-01-18T20:00:00;2021-01-18T21:30:00
41;LEMD;LGAV;2021-01-21T17:15:00;2021-01-21T18:30:00
42;LTFJ;EDDB;2021-01-25T05:00:00;2021-01-25T06:30:00
43;EGLL;LHBP;2021-02-02T13:00:00;2021-02-02T15:00:00
44;LGTS;LHBP;2021-02-02T13:45:00;2021-02-02T15:15:00
45;LOWW;LIRA;2021-02-10T10:00:00;2021-02-10T11:45:00
46;LIRA;LGAV;2021-02-10T12:15:00;2021-02-10T14:45:00
47;EDDB;LFPG;2021-02-13T01:15:00;2021-02-13T03:50:00
48;LFPG;LATI;2021-02-13T07:00:00;2021-02-13T10:30:00
49;LTFJ;EGLL;2021-02-15T17:00:00;2021-02-15T19:00:00
50;LTFJ;UUDD;2021-02-15T17:30:00;2021-02-15T18:50:00
51;LTFJ;LIRA;2021-02-18T01:40:00;2021-02-18T04:00:00
